,BPQ060,BPQ070,BPQ090D,DIQ175J,DID320,DID330,LBDHDD,LBDHDDSI,LBDLDL,LBDLDLSI,LBXTC,LBDTCSI,LBXSCH,LBDSCHSI,DR1ICHOL,DR2ICHOL,DRQSDT2,DR1TCHOL,DR2TCHOL,DS1ICHOL,DS2ICHOL,DS1TCHOL,DS2TCHOL,DSQ128J,DSQICHOL,DSQTCHOL
count,5935.0,4218.0,1906.0,0.0,769.0,607.0,7387.0,7387.0,3035.0,3035.0,7387.0,7387.0,6375.0,6375.0,9127.0,7730.0,163.0,9118.0,7715.0,82.0,86.0,188.0,198.0,174.0,81.0,231.0
mean,1.5236731255265374,1.6142721669037459,1.319517313746065,,8030.176853055917,7502.054365733114,52.03668607012319,1.3457574116691498,110.91004942339374,2.8681532125205917,186.67469879518072,4.827465818329512,191.63450980392156,4.955677019607868,30.129505861728937,27.719922380336353,2.0,260.3855012064049,244.45418016850292,12.753048780487806,12.332093023255814,11.786170212765958,11.594444444444443,19.0,16.61172839506173,23.563203463203465
std,1.4570831567067823,1.017678780811285,0.6037563760676377,,3247.8341260521397,2855.7043027414875,15.14143563607646,0.3914725055753073,35.76697288290583,0.9249392963666027,42.15101103182779,1.0900533453508936,42.82439168688337,1.1074384634917576,99.33943172799444,92.77579560960896,0.0,234.27902513267676,209.89957305597568,11.730150945638663,13.784560853384367,10.746003869254773,11.736347266152297,0.0,18.348338261960084,184.7396367303412
min,1.0,1.0,1.0,,32.0,40.0,7.0,0.18,23.0,0.595,78.0,2.02,74.0,1.9140000000000013,5.397605346934027e-79,5.397605346934027e-79,2.0,5.397605346934027e-79,5.397605346934027e-79,1.25,1.25,1.3,1.3,19.0,1.65,0.2
25%,1.0,1.0,1.0,,5555.0,6666.0,41.0,1.06,85.0,2.198,156.0,4.03,161.0,4.163,5.397605346934027e-79,5.397605346934027e-79,2.0,109.0,105.0,5.0,5.0,5.0,5.0,19.0,5.0,4.7
50%,1.0,1.0,1.0,,9999.0,6666.0,50.0,1.2900000000000007,108.0,2.793,181.0,4.68,187.0,4.836,5.397605346934027e-79,5.397605346934027e-79,2.0,192.0,180.0,10.0,10.0,10.0,10.0,19.0,10.0,7.5
75%,2.0,2.0,2.0,,9999.0,9999.0,61.0,1.5800000000000014,132.0,3.4139999999999997,212.0,5.48,218.0,5.6370000000000005,10.5,8.0,2.0,332.0,318.0,15.0,15.0,13.125,12.5,19.0,20.0,12.5
max,9.0,9.0,9.0,,9999.0,9999.0,155.0,4.01,344.0,8.896,460.0,11.9,453.0,11.715,1440.0,1910.0,2.0,2702.0,2269.0,70.0,106.8,80.0,106.8,19.0,90.0,2800.0
